"female" "age" "coupon" "churn" "followtime"
"1" 0 64 0 1 158
"2" 0 22 0 0 25
"3" 0 37 0 0 150
"4" 0 55 0 0 311
"5" 0 71 0 0 149
"6" 0 38 0 0 92
"7" 0 44 0 0 260
"8" 0 59 0 1 203
"9" 0 26 1 1 14
"10" 1 27 0 0 258
"11" 1 61 0 0 18
"12" 0 49 0 1 255
"13" 0 65 1 0 71
"14" 0 15 0 0 70
"15" 0 61 0 0 230
"16" 0 57 0 0 238
"17" 0 28 1 0 17
"18" 0 60 1 0 298
"19" 0 37 1 0 38
"20" 0 42 0 1 1
"21" 0 22 1 1 21
"22" 0 15 0 0 179
"23" 1 16 0 0 254
"24" 0 57 0 0 187
"25" 0 24 1 0 212
"26" 0 20 1 0 307
"27" 0 70 0 0 68
"28" 0 65 0 0 157
"29" 0 74 0 0 142
"30" 0 17 0 0 220
"31" 0 51 0 0 288
"32" 1 25 0 0 316
"33" 0 40 1 0 1
"34" 0 33 0 0 310
"35" 1 40 0 0 260
"36" 0 58 0 0 347
"37" 1 24 0 1 120
"38" 0 83 0 0 364
"39" 0 50 0 0 317
"40" 1 80 1 0 65
"41" 0 14 1 0 62
"42" 0 13 0 1 137
"43" 0 23 1 0 287
"44" 0 31 0 1 191
"45" 0 67 0 0 291
"46" 0 61 0 0 215
"47" 0 36 0 0 177
"48" 0 51 0 1 16
"49" 0 52 0 0 163
"50" 0 52 0 0 353
"51" 1 53 1 0 32
"52" 0 81 0 0 251
"53" 0 13 0 1 116
"54" 0 18 0 0 149
"55" 0 82 0 0 19
"56" 0 65 0 0 162
"57" 0 83 0 0 181
"58" 0 16 0 0 172
"59" 0 44 0 0 257
"60" 1 84 0 0 38
"61" 0 61 0 1 188
"62" 1 35 0 0 146
"63" 0 41 0 0 96
"64" 0 83 1 0 59
"65" 1 78 0 0 309
"66" 0 30 1 0 184
"67" 0 45 0 1 256
"68" 0 52 0 0 246
"69" 0 23 1 1 136
"70" 1 22 0 0 256
"71" 1 20 0 0 214
"72" 0 17 0 1 179
"73" 0 23 0 0 325
"74" 0 58 0 0 257
"75" 1 24 0 1 111
"76" 0 74 0 0 167
"77" 0 19 0 1 1
"78" 0 61 0 0 8
"79" 0 52 0 0 345
"80" 0 74 0 1 53
"81" 0 32 0 0 18
"82" 0 77 1 1 17
"83" 0 20 0 0 266
"84" 0 15 0 0 269
"85" 0 40 0 1 142
"86" 0 33 0 0 55
"87" 0 62 0 0 24
"88" 0 34 0 0 253
"89" 0 46 0 0 188
"90" 0 53 0 0 305
"91" 0 68 0 0 269
"92" 1 31 1 1 118
"93" 0 23 0 0 166
"94" 1 20 1 0 64
"95" 1 83 0 0 180
"96" 0 72 0 0 135
"97" 0 58 0 0 294
"98" 1 74 0 0 348
"99" 0 61 0 0 212
"100" 0 61 0 0 339
"101" 0 33 1 0 24
"102" 0 55 0 0 193
"103" 0 61 0 0 80
"104" 0 23 0 0 193
"105" 1 63 1 1 75
"106" 1 71 0 1 78
"107" 0 39 0 0 305
"108" 0 34 1 0 53
"109" 0 22 0 0 311
"110" 0 71 1 0 245
"111" 0 77 0 0 92
"112" 1 30 0 0 355
"113" 0 17 0 0 197
"114" 0 44 0 0 104
"115" 1 82 0 0 158
"116" 1 24 0 0 148
"117" 0 42 0 0 155
"118" 0 32 0 1 125
"119" 0 60 0 0 8
"120" 0 79 0 0 92
"121" 1 15 0 0 351
"122" 1 16 1 0 35
"123" 1 31 0 0 91
"124" 0 74 0 0 116
"125" 0 33 0 1 150
"126" 0 23 1 1 244
"127" 0 84 1 0 310
"128" 0 22 0 0 309
"129" 0 78 1 0 263
"130" 1 76 0 1 92
"131" 0 38 0 1 2
"133" 0 31 1 0 224
"134" 0 32 0 0 26
"135" 1 53 0 0 272
"136" 0 48 0 0 308
"137" 0 77 0 0 309
"138" 0 69 0 0 2
"139" 0 22 0 1 206
"140" 0 66 0 0 352
"141" 0 80 0 0 126
"142" 0 55 0 0 247
"143" 0 50 0 0 38
"144" 1 82 0 0 134
"145" 1 48 0 0 340
"146" 0 27 0 0 219
"147" 0 37 0 0 24
"148" 1 68 0 0 234
"149" 1 42 0 1 136
"150" 0 67 1 0 16
"151" 0 18 0 0 10
"152" 0 49 1 0 13
"153" 0 63 0 0 21
"154" 1 31 1 0 170
"155" 0 47 0 1 310
"156" 0 32 0 0 337
"157" 0 37 0 0 218
"158" 0 58 0 1 130
"159" 0 40 0 0 327
"160" 0 58 0 0 75
"161" 0 49 0 1 26
"162" 0 29 0 0 122
"163" 1 59 0 0 136
"164" 0 62 0 0 76
"165" 0 71 0 0 178
"166" 0 64 1 0 288
"167" 0 16 0 0 69
"168" 0 24 0 1 94
"169" 0 57 0 1 69
"170" 0 48 0 0 116
"171" 0 24 0 0 126
"172" 0 65 0 0 322
"173" 0 33 0 0 47
"174" 0 81 0 0 101
"175" 0 63 1 0 26
"176" 0 75 0 0 314
"177" 0 81 0 0 120
"178" 0 34 0 0 328
"179" 1 34 1 0 360
"180" 0 17 0 0 169
"181" 1 77 0 0 286
"182" 0 36 0 1 48
"183" 0 24 1 0 265
"184" 0 47 0 0 52
"185" 0 34 0 1 127
"186" 1 54 0 0 214
"187" 0 82 0 0 56
"188" 0 24 0 0 68
"189" 0 42 0 0 41
"190" 0 30 0 0 195
"191" 0 15 0 0 362
"192" 1 54 0 0 138
"193" 1 54 0 0 90
"194" 1 77 0 1 65
"195" 0 76 0 0 351
"196" 0 25 0 1 42
"197" 0 43 0 0 330
"198" 0 13 0 0 101
"199" 0 31 0 1 58
"200" 0 70 1 0 179
"201" 0 78 0 0 347
"202" 1 19 0 0 114
"203" 0 28 1 0 272
"204" 0 54 0 0 138
"205" 1 66 0 0 258
"206" 0 80 1 0 344
"207" 0 43 1 0 191
"208" 0 59 0 0 285
"209" 0 29 0 0 90
"210" 1 78 0 0 92
"211" 1 44 1 0 63
"212" 0 65 1 0 45
"213" 0 28 1 0 272
"214" 0 68 0 0 326
"215" 1 72 0 0 334
"216" 0 31 0 0 332
"217" 0 36 0 0 225
"218" 1 43 0 0 144
"219" 0 81 1 0 351
"220" 0 37 0 0 146
"221" 0 53 0 0 111
"222" 0 62 0 0 239
"223" 1 58 0 0 112
"224" 0 79 0 0 249
"225" 1 20 0 0 116
"226" 0 23 1 0 244
"227" 0 59 0 0 135
"228" 0 31 0 1 140
"229" 0 20 0 0 56
"230" 0 30 0 0 254
"231" 1 68 1 0 257
"232" 0 52 0 0 119
"233" 0 59 0 1 10
"234" 1 69 0 0 180
"235" 0 74 0 0 78
"236" 1 44 0 0 315
"237" 0 37 0 1 70
"238" 0 33 0 0 330
"239" 0 49 0 0 192
"240" 0 26 0 0 77
"241" 0 74 1 0 78
"242" 0 45 0 0 269
"243" 0 58 0 1 237
"244" 0 75 0 0 219
"245" 0 17 1 1 112
"246" 0 73 0 0 47
"247" 1 25 0 0 345
"248" 0 15 1 0 144
"249" 0 33 1 0 278
"250" 0 34 0 0 282
"251" 0 77 0 0 344
"252" 0 46 0 0 202
"253" 0 58 0 0 283
"254" 0 83 0 0 248
"255" 0 79 0 0 163
"256" 0 30 1 1 9
"257" 0 55 0 0 66
"258" 0 31 0 0 227
"259" 0 73 1 1 13
"260" 0 26 0 0 175
"261" 0 81 0 0 193
"262" 1 54 0 0 337
"263" 0 63 0 0 307
"264" 1 68 0 0 83
"265" 0 77 0 0 213
"266" 0 84 0 0 152
"267" 0 52 0 1 152
"268" 0 25 0 0 158
"269" 0 54 0 0 160
"270" 0 34 0 0 343
"271" 0 67 1 0 207
"272" 0 31 0 0 220
"273" 1 27 0 0 243
"274" 1 60 0 0 40
"275" 0 14 1 0 299
"276" 0 67 0 0 243
