alcool;drogue;preuve;nivetud;regle;durprison;age_an;origine;raison;job;durliberte
2;2;0;9;5;27;22;W;1;Y;9
2;1;2;9;3;38;21;W;1;Y;25
2;2;2;10;0;14;32;W;3;N;54
2;2;0;11;2;32;36;B;3;Y;60
2;2;0;12;1;9;25;B;3;N;73
1;2;0;10;1;19;23;W;3;Y;7
2;2;0;11;0;3;18;B;3;N;30
2;2;0;9;3;28;23;B;1;N;23
1;2;3;10;3;7;48;W;3;Y;16
2;2;1;8;18;119;22;B;1;N;13
2;2;1;9;0;8;24;B;3;N;28
2;1;0;10;0;29;26;W;1;N;35
2;2;12;3;0;4;58;W;3;N;8
2;2;1;11;0;5;29;W;3;Y;14
2;2;8;11;3;20;31;B;1;Y;46
1;2;0;9;0;16;19;W;3;N;30
2;2;0;8;4;15;20;B;3;N;25
2;2;1;10;8;26;22;W;1;N;15
2;2;1;10;4;33;21;B;3;Y;8
2;2;3;8;0;41;33;B;3;Y;41
2;2;0;9;0;3;17;B;3;N;8
2;2;0;9;0;3;18;B;3;N;71
2;1;5;8;0;12;25;W;3;Y;39
2;1;0;8;0;31;24;W;3;Y;15
2;1;3;12;2;27;22;B;3;N;2
1;2;0;13;0;4;20;W;3;N;21
1;2;1;12;2;7;24;B;3;N;22
2;2;0;11;2;33;39;W;1;Y;13
2;1;0;10;3;50;21;B;1;N;8
2;2;0;10;3;10;19;W;3;N;18
2;2;1;12;0;30;24;B;1;Y;45
2;2;0;10;1;54;24;W;3;N;30
2;2;1;12;0;5;23;B;3;N;9
1;2;3;12;0;34;26;B;3;N;27
1;1;0;10;2;9;18;B;3;N;7
2;2;0;10;1;15;23;W;3;Y;22
2;1;2;6;0;32;35;W;1;N;16
2;1;0;7;0;6;43;B;3;Y;62
2;2;0;12;0;42;20;B;1;N;25
2;2;1;8;0;7;18;W;3;N;42
1;1;1;11;8;88;24;W;1;Y;15
1;2;1;13;5;82;24;B;1;Y;17
2;2;3;11;2;37;27;B;1;Y;49
2;2;0;8;3;41;24;W;3;Y;57
2;2;0;10;0;3;17;W;3;N;8
2;2;0;10;0;13;22;B;3;N;47
2;2;3;6;0;8;51;W;3;N;32
2;2;2;10;3;37;26;W;1;N;26
2;2;0;10;0;4;19;B;3;N;28
2;2;0;7;2;21;22;W;3;Y;1
1;1;0;8;0;7;26;W;3;Y;71
2;2;1;12;2;15;21;B;3;N;21
1;2;6;6;0;9;53;B;3;N;30
2;2;2;8;11;41;27;B;3;Y;6
1;2;0;9;1;5;23;W;3;Y;33
2;1;0;8;0;2;17;B;3;N;38
2;1;0;8;0;6;28;W;3;Y;23
2;1;1;8;1;7;26;B;3;Y;23
1;2;0;11;0;6;19;B;3;N;23
1;2;4;11;0;8;29;W;3;N;29
2;1;0;9;2;12;20;B;3;N;43
2;2;0;8;1;9;23;W;3;Y;31
1;2;1;11;2;5;23;B;3;N;4
1;1;0;12;0;6;28;W;3;N;8
1;2;26;7;0;6;53;B;3;Y;1
2;1;7;12;1;26;29;W;3;N;30
